k,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,reg_alpha,min_child_weight,gamma
350,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,300,3,0.04,0.9,0.9,1.0,0.03,2.0,0.1
350,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,500,4,0.02,0.85,0.75,0.5,0.0,2.0,0.05
350,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,300,3,0.05,0.85,0.75,5.0,0.1,2.0,0.0
350,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,400,3,0.02,0.9,0.9,0.5,0.03,1.0,0.03
350,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,400,3,0.03,0.9,0.9,1.0,0.1,1.0,0.1
350,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,400,2,0.05,0.85,0.75,5.0,0.05,3.0,0.05
250,0.934036159918513,0.03019589589564083,0.9144637923804592,0.040024278038515236,0.9340773803340647,0.02883216327755279,400,3,0.03,0.9,0.8,1.0,0.05,,
250,0.934036159918513,0.03019589589564083,0.9144637923804592,0.040024278038515236,0.9340773803340647,0.02883216327755279,300,3,0.05,1.0,0.75,5.0,0.1,2.0,0.05
250,0.934036159918513,0.03019589589564083,0.9144637923804592,0.040024278038515236,0.9340773803340647,0.02883216327755279,400,3,0.03,0.9,0.9,1.0,0.1,1.0,0.1
350,0.9277973007384771,0.04164872331811945,0.9137583250083251,0.050899425834640286,0.927762126959988,0.03879989691663143,400,3,0.02,1.0,0.9,2.0,0.03,1.0,0.0
300,0.9277973007384771,0.04164872331811945,0.9133414579247914,0.05122053865461063,0.9273073628688602,0.039304414728823685,300,3,0.04,0.9,0.9,1.0,0.03,2.0,0.1
300,0.9277973007384771,0.04164872331811945,0.9133414579247914,0.05122053865461063,0.9273073628688602,0.039304414728823685,650,2,0.04,0.85,0.9,5.0,0.1,3.0,0.03
350,0.9277973007384771,0.04164872331811945,0.9133414579247914,0.05122053865461063,0.9273073628688602,0.039304414728823685,650,2,0.04,0.85,0.9,5.0,0.1,3.0,0.03
300,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,400,3,0.04,0.9,0.9,2.0,0.0,3.0,0.05
300,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,300,4,0.04,0.9,0.9,0.5,0.03,1.0,0.03
300,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,650,3,0.03,0.9,0.75,0.5,0.03,3.0,0.05
300,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,650,4,0.02,1.0,0.8,1.0,0.0,3.0,0.03
300,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,650,3,0.04,0.9,0.9,2.0,0.0,1.0,0.1
300,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,650,3,0.03,0.9,0.75,0.5,0.0,1.0,0.05
300,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,500,3,0.05,1.0,0.8,2.0,0.03,1.0,0.1
300,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,650,4,0.02,1.0,0.75,0.5,0.03,2.0,0.0
300,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,400,4,0.03,0.85,0.75,2.0,0.1,2.0,0.1
